ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Computer Program,,FOUND
2,Source Code,1,FOUND
3,Variable,1|2,FOUND
4,Data Type,3,FOUND
5,Integer,4,FOUND
6,Float,4,FOUND
7,String,4,FOUND
8,Boolean,4,FOUND
9,List,4,FOUND
10,Dictionary,4,FOUND
11,Tuple,4,FOUND
12,Conditional Statement,3|8,FOUND
13,If-Else Statement,12,FOUND
14,For Loop,3|9,FOUND
15,While Loop,3|8,FOUND
16,Function Definition,3|12|14,FOUND
17,Function Call,16,FOUND
18,Return Value,16,FOUND
19,Module Import,1|2,FOUND
20,Python Syntax,1,FOUND
21,Indentation in Python,20,FOUND
22,Comment in Code,2,FOUND
23,Print Statement,1|7,FOUND
24,Input Validation,3|7,FOUND
25,Error and Exception,1|2,FOUND
26,Try-Except Block,25,FOUND
27,Arithmetic Operators,3|5|6,FOUND
28,Comparison Operators,3|5|6|8,FOUND
29,Logical Operators,8|12,FOUND
30,Assignment Operators,3,FOUND
31,MicroPython,1|19,UENV
32,MicroPython REPL,31,UENV
33,MicroPython Firmware,31,UENV
34,Flashing Firmware,33,UENV
35,Thonny IDE,31|34,UENV
36,VS Code IDE,31|34,UENV
37,Thonny File Manager,35,UENV
38,mpremote Tool,31|34,UENV
39,rshell Tool,31|34,UENV
40,File Transfer to Pico,34|37|38,UENV
41,MicroPython Interpreter,31|33,UENV
42,Interactive Mode,32|41,UENV
43,Script Mode,35|41,UENV
44,Boot.py File,43|40,UENV
45,Main.py File,43|40,UENV
46,MicroPython Modules,19|31,UENV
47,MicroPython Standard Library,46,UENV
48,uos Module,47,UENV
49,utime Module,47,UENV
50,sys Module,47,UENV
51,Microcontroller,1,MCU
52,Raspberry Pi Pico,51,MCU
53,Raspberry Pi Pico W,52,MCU
54,RP2040 Chip,52,MCU
55,ESP32 Microcontroller,51,MCU
56,ESP8266 Microcontroller,51,MCU
57,Cytron Maker Pi RP2040,52,MCU
58,Maker Pi Pico,52,MCU
59,Maker Nano RP2040,52,MCU
60,Raspberry Pi 500 Keyboard,51,MCU
61,Micro:bit,51,MCU
62,GPIO Pin,51|52,MCU
63,GPIO Numbering,62,MCU
64,Pin Modes (Input/Output),62|63,MCU
65,Pull-Up Resistor,64|87,MCU
66,Pull-Down Resistor,64|87,MCU
67,USB Connection,52|34,MCU
68,USB Power,67,MCU
69,3.3V Logic Level,52|79,MCU
70,5V Logic Level,51|79,MCU
71,Ground (GND),79|84,MCU
72,VSYS Pin,52|69,MCU
73,VBUS Pin,52|70,MCU
74,Pico W Wireless Module,53,MCU
75,RP2040 Dual Core,54,MCU
76,RP2040 PIO (Programmable I/O),54,MCU
77,Flash Memory on Pico,52,MCU
78,RAM on Pico,52,MCU
79,Voltage,1,ELEC
80,Current,79,ELEC
81,Resistance,79|80,ELEC
82,Ohm's Law,79|80|81,ELEC
83,Power (Watts),79|80,ELEC
84,Series Circuit,79|80|81,ELEC
85,Parallel Circuit,79|80|81,ELEC
86,Short Circuit,80|84,ELEC
87,Current-Limiting Resistor,80|81|82|90,ELEC
88,Resistor Color Code,81,ELEC
89,Capacitor,79|80,ELEC
90,LED (Light Emitting Diode),79|80,ELEC
91,LED Forward Voltage,90|79,ELEC
92,LED Current Rating,90|80|82,ELEC
93,Transistor,80|79,ELEC
94,NPN Transistor,93,ELEC
95,MOSFET,93,ELEC
96,Diode,79|80,ELEC
97,Breadboard,84,ELEC
98,Breadboard Rails,97,ELEC
99,Breadboard Rows,97,ELEC
100,Jumper Wire,97,ELEC
101,Multimeter,79|80|81,ELEC
102,Continuity Test,101,ELEC
103,Wiring Diagram,62|84,ELEC
104,Schematic Symbol,90|93|96,ELEC
105,Power Supply,79|80,ELEC
106,Digital Output,62|64|110,IO
107,Digital Input,62|64|110,IO
108,HIGH and LOW States,69|70|71,IO
109,machine.Pin Class,31|46|62,IO
110,Pin.OUT Mode,109|64,IO
111,Pin.IN Mode,109|64,IO
112,Pin.value() Method,109|110|111,IO
113,LED Blink Program,106|112|90|87|49,IO
114,Button Input,107|65|66,IO
115,Button Debouncing,114,IO
116,Software Debouncing,115|49,IO
117,Hardware Debouncing,115|89,IO
